         5671145 function calls (5659259 primitive calls) in 110.488 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.078    0.039 C:\Users\toby0\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\matplotlib\axes\_base.py:3074(_update_title_position)
        2    0.000    0.000    0.076    0.038 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\tkinter\__init__.py:2325(__init__)
        2    0.075    0.038    0.075    0.038 {built-in method _tkinter.create}
        4    0.000    0.000    0.072    0.018 C:\Users\toby0\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\matplotlib\axis.py:1337(get_tightbbox)
       26    0.001    0.000    0.067    0.003 C:\Users\toby0\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\matplotlib\axis.py:1276(_update_ticks)
       30    0.000    0.000    0.060    0.002 C:\Users\toby0\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\matplotlib\axis.py:1644(get_major_ticks)
       28    0.000    0.000    0.058    0.002 C:\Users\toby0\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\matplotlib\axis.py:1585(_get_tick)
       28    0.001    0.000    0.053    0.002 C:\Users\toby0\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\matplotlib\axis.py:59(__init__)
       20    0.000    0.000    0.052    0.003 C:\Users\toby0\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\matplotlib\axis.py:367(__init__)
    38/10    0.000    0.000    0.045    0.005 <frozen importlib._bootstrap>:1165(_find_and_load)
    38/10    0.000    0.000    0.045    0.004 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
      390    0.044    0.000    0.045    0.000 {method 'call' of '_tkinter.tkapp' objects}
    31/10    0.000    0.000    0.043    0.004 <frozen importlib._bootstrap>:666(_load_unlocked)
    91/15    0.000    0.000    0.042    0.003 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
     26/9    0.000    0.000    0.040    0.004 <frozen importlib._bootstrap_external>:934(exec_module)
       56    0.001    0.000    0.039    0.001 C:\Users\toby0\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\matplotlib\lines.py:672(recache)
        2    0.000    0.000    0.039    0.019 C:\Users\toby0\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\matplotlib\pyplot.py:2968(bar)
      885    0.020    0.000    0.039    0.000 C:\Users\toby0\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\numpy\linalg\_linalg.py:493(inv)
       32    0.000    0.000    0.038    0.001 C:\Users\toby0\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\matplotlib\lines.py:1035(get_path)
      145    0.000    0.000    0.038    0.000 C:\Users\toby0\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\matplotlib\path.py:99(__init__)
    28/11    0.000    0.000    0.038    0.003 {built-in method builtins.exec}
        2    0.000    0.000    0.037    0.019 C:\Users\toby0\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\matplotlib\pyplot.py:526(_warn_if_gui_out_of_main_thread)
        6    0.000    0.000    0.037    0.006 C:\Users\toby0\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\matplotlib\pyplot.py:359(_get_backend_mod)
      6/1    0.000    0.000    0.037    0.037 C:\Users\toby0\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\matplotlib\pyplot.py:373(switch_backend)
      897    0.000    0.000    0.037    0.000 {built-in method builtins.any}
        5    0.000    0.000    0.037    0.007 C:\Users\toby0\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\matplotlib\backends\registry.py:302(load_backend_module)
        5    0.000    0.000    0.037    0.007 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\importlib\__init__.py:108(import_module)
        5    0.000    0.000    0.037    0.007 <frozen importlib._bootstrap>:1192(_gcd_import)
      147    0.000    0.000    0.037    0.000 C:\Users\toby0\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\matplotlib\_api\__init__.py:133(check_shape)
    46/23    0.000    0.000    0.037    0.002 <frozen importlib._bootstrap>:1207(_handle_fromlist)
    17/10    0.000    0.000    0.037    0.004 {built-in method builtins.__import__}
      439    0.036    0.000    0.037    0.000 C:\Users\toby0\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\matplotlib\_api\__init__.py:153(<genexpr>)
   236709    0.033    0.000    0.033    0.000 d:\Users\Toby\HiveCamFINAL\scripts\missed_count_polygon_tracker.py:247(<lambda>)
        2    0.000    0.000    0.031    0.016 C:\Users\toby0\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\matplotlib\__init__.py:1518(inner)
        2    0.000    0.000    0.031    0.016 C:\Users\toby0\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\matplotlib\axes\_axes.py:2374(bar)
    10088    0.018    0.000    0.031    0.000 C:\Users\toby0\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\numpy\linalg\_linalg.py:2566(norm)
        2    0.026    0.013    0.026    0.013 {method 'set' of 'cv2.VideoCapture' objects}
        4    0.000    0.000    0.024    0.006 C:\Users\toby0\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\matplotlib\axis.py:1396(draw)
